Keuwl Accelerometer Data File
2021-04-04 11-07-14

Time (s), X (m/s2), Y (m/s2), Z (m/s2), R (m/s2), Theta (deg), Phi (deg)
0.9585266,1.496307,4.680878,7.100845,8.635483,34.685608,72.272804
0.9625549,1.467575,4.654541,6.997894,8.531651,34.892426,72.499954
0.9666137,1.431671,4.635391,6.863815,8.405266,35.253235,72.836349
0.9706421,1.383789,4.616226,6.705811,8.257863,35.703140,73.313042
0.9747009,1.319138,4.606659,6.545395,8.111943,36.207432,74.020699
0.9787292,1.232956,4.587494,6.370621,7.946703,36.710281,74.956421
0.9827881,1.127609,4.570740,6.186264,7.773869,37.271313,76.141754
0.9868469,1.019867,4.558777,6.013885,7.615077,37.839340,77.389709
0.9908752,0.907333,4.563553,5.834320,7.462477,38.572403,78.754997
0.9949340,0.811569,4.568344,5.654755,7.314688,39.369762,79.926460
0.9989624,0.715805,4.577927,5.472794,7.170862,40.252979,81.113182
1.0030212,0.622437,4.587494,5.293228,7.032125,41.173370,82.273224
1.0070496,0.550598,4.599472,5.132813,6.914048,42.065926,83.173668
1.0111084,0.478775,4.613831,4.974792,6.801854,42.997147,84.075645
1.0151367,0.428497,4.652145,4.826355,6.717125,44.067989,84.737480
1.0191956,0.397369,4.695236,4.670731,6.634672,45.252140,85.162445
1.0232239,0.378220,4.740738,4.515106,6.557731,46.487206,85.438560
1.0272827,0.375824,4.807770,4.354706,6.497643,47.917667,85.530273
1.0313110,0.387802,4.872406,4.179916,6.431363,49.463905,85.449333
1.0353699,0.399765,4.939453,4.017120,6.379284,50.971027,85.372963
1.0393982,0.421310,5.013672,3.866287,6.345281,52.459866,85.196587
1.0434570,0.447647,5.085495,3.717834,6.315453,53.936001,84.969543
1.0474854,0.476379,5.157318,3.581375,6.296913,55.336830,84.722588
1.0515442,0.500320,5.238724,3.468842,6.302969,56.608944,84.544556
1.0555724,0.507507,5.336884,3.389832,6.342779,57.694096,84.567833
1.0596313,0.538635,5.427872,3.349136,6.400675,58.449669,84.332802
1.0636597,0.543427,5.506882,3.332367,6.459546,58.943535,84.364220
1.0677185,0.524261,5.578705,3.351532,6.529132,59.114796,84.631371
1.0717468,0.478775,5.621796,3.404205,6.589570,58.895195,85.132202
1.0758057,0.392578,5.638550,3.483215,6.639288,58.356201,86.017265
1.0798340,0.260910,5.631378,3.564606,6.669851,57.694359,87.347298
1.0838928,0.093307,5.609833,3.669952,6.704288,56.810925,89.047096
1.0879515,-0.117386,5.597855,3.792053,6.762353,55.891666,91.201302
1.0919800,-0.354401,5.593063,3.930923,6.845445,54.953621,93.625664
1.0960387,-0.620163,5.597855,4.055420,6.940246,54.244061,96.321777
1.1000671,-0.888306,5.621796,4.163162,7.051638,53.815857,98.979126
1.1041260,-1.130127,5.645737,4.278091,7.173116,53.387051,101.319489
1.1081542,-1.367157,5.684052,4.414551,7.325696,52.942814,103.524178
1.1122131,-1.551514,5.731934,4.572571,7.494709,52.402794,105.145828
1.1162413,-1.702347,5.801361,4.766495,7.698912,51.748627,106.353760
1.1203003,-1.805298,5.873184,4.986771,7.913361,50.937256,107.086365
1.1243285,-1.843597,5.949799,5.254913,8.149422,49.847790,107.216057
1.1283875,-1.831635,6.038391,5.547012,8.401571,48.682194,106.874207
1.1324158,-1.771774,6.143738,5.872620,8.681726,47.434341,106.086876
1.1364746,-1.652069,6.258652,6.222183,8.978620,46.131947,104.786835
1.1405029,-1.489258,6.395126,6.607635,9.315384,44.819973,103.109055
1.1445618,-1.307297,6.557922,7.007477,9.686077,43.659218,101.273911
1.1485901,-1.094208,6.742279,7.426453,10.089986,42.606346,99.218193
1.1526489,-0.890701,6.924240,7.864594,10.516191,41.595032,97.330002
1.1566772,-0.715927,7.113388,8.302734,10.956653,40.731106,95.747185
1.1607361,-0.553131,7.283371,8.721725,11.376376,39.945782,94.342957
1.1647644,-0.416656,7.434204,9.076065,11.739504,39.364952,93.207840
1.1688232,-0.308914,7.573074,9.380127,12.059587,38.939056,92.335861
1.1728516,-0.227509,7.685593,9.621948,12.316736,38.628574,91.695572
1.1769103,-0.186813,7.764603,9.791931,12.498235,38.421055,91.378250
1.1809692,-0.174835,7.831650,9.887695,12.614746,38.388290,91.278870
1.1849974,-0.201172,7.889099,9.911636,12.669605,38.526875,91.460724
1.1890564,-0.241882,7.939377,9.861359,12.662488,38.850513,91.745041
1.1930846,-0.318497,7.977692,9.741653,12.595428,39.337292,92.286232
1.1971612,-0.428619,8.020782,9.574051,12.497165,39.995239,93.058899
